"job_run_id","begin","end","execution_key"
"jr_77e0621dc8881c8a68ccb2471e9c4c6a95fce1f4d22f0a5ab742e253dac16652","(2020, 12, 31, '2020-03-20T12:13:41.983293')","(2020, 12, 31, '2020-03-20T12:13:41.983293')","platform_events_raw.person_person_updated_v1_v2"
"jr_2eb533263113095bb066a88f10ffa3708c7c53d80939da793ddd7a7f043b2352","(2020, 12, 31, '2020-03-20T12:13:41.983293')","(2020, 12, 31, '2020-03-20T12:13:41.983293')","platform_events_raw.person_person_updated_v1_v2"
"jr_974380171b67916088f201690b03107800fa3c07290612bd1cb2d4acc0d05dcb","(2020, 8, 31, '2020-08-19 11:26:05 -0300')","(2020, 8, 31, '2020-08-19 11:26:05 -0300')","data_events_raw.processing_probability_auto_raw_features_v1_v1"
"jr_7db33cbbbe04c9b06c1edb11f368a1b5a900ce8890015426300e4934816e4593","(2020, 12, 31, '2020-03-20T12:13:41.983293')","(2020, 12, 31, '2020-03-20T12:13:41.983293')","platform_events_raw.person_person_updated_v1_v2"
"jr_f2d7f1b13c1eebe4996871d1b0c3e5eb330a7b115afa0fbaa7d8907925b5c92c","(2020, 12, 31, '2020-03-20T12:13:41.983293')","(2020, 12, 31, '2020-03-20T12:13:41.983293')","platform_events_raw.person_person_updated_v1_v2"
"jr_a2bdfa9bb16478abf80f22da542039736d9c9d1c41f1aba6b3762723fcec0b95","(2020, 8, 31, '2020-08-19 11:26:05 -0300')","(2020, 8, 31, '2020-08-19 11:26:05 -0300')","data_events_raw.processing_probability_auto_raw_features_v1_v1"
"jr_9c208cd6e70c95bbfe3bc935e9b857f6a06bbe089e439620747b28facd2c4ecf","(2020, 12, 31, '2020-03-20T12:13:41.983293')","(2020, 12, 31, '2020-03-20T12:13:41.983293')","platform_events_raw.person_person_updated_v1_v2"
"jr_31c4e6bf6103ac08fc63febc0d26134279a48e2354df439b6bd378431311c9e6","(2020, 12, 31, '2020-03-20T12:13:41.983293')","(2020, 12, 31, '2020-03-20T12:13:41.983293')","platform_events_raw.person_person_updated_v1_v2"
"jr_2eb533263113095bb066a88f10ffa3708c7c53d80939da793ddd7a7f043b2352","(2020, 12, 31, '2020-03-20T12:13:41.983293')","(2020, 12, 31, '2020-03-20T12:13:41.983293')","platform_events_raw.person_person_updated_v1_v2"
"jr_4ebf339191471492f303238f0357bd69ac6cdaa13c447f0ad17e2b904785fa17","(2020, 6, 25, '2020-06-25T13:57:34.189915-0300')","(2020, 6, 25, '2020-06-25T13:57:34.189915-0300')","data_events_raw.processing_probability_auto_features_processed_v1_v1"
"jr_22c8c018fea500f0cbbcaac4a1dbc77bbfd3e2cf2a0c4ff7d823a5115c31f45e","(2020, 12, 31, '2020-03-20T12:13:41.983293')","(2020, 12, 31, '2020-03-20T12:13:41.983293')","platform_events_raw.person_person_updated_v1_v2"
"jr_a8860997c7fd68c43a75668f8f1e6435d439badf85211b63d71a9a1dfa5316e9","(2020, 12, 31, '2020-03-20T12:13:41.983293')","(2020, 12, 31, '2020-03-20T12:13:41.983293')","platform_events_raw.person_person_updated_v1_v2"
"jr_fcb966644c835c4eda5db3e0091aa62e033549cf5abdb2d91d54fedb31ff132c","(2020, 12, 31, '2020-03-20T12:13:41.983293')","(2020, 12, 31, '2020-03-20T12:13:41.983293')","platform_events_raw.person_person_updated_v1_v2"
"jr_051d94e9f83d066ea124e31caae11ceb978a5db28e2675513d54bc510ed18264","(2020, 12, 31, '2020-03-20T12:13:41.983293')","(2020, 12, 31, '2020-03-20T12:13:41.983293')","platform_events_raw.person_person_updated_v1_v2"
"jr_02cb6c36d51443749d98346c8713d356a08766946e1d45d8bb3cfadf5480d0b5","(2020, 12, 31, '2020-03-20T12:13:41.983293')","(2020, 12, 31, '2020-03-20T12:13:41.983293')","platform_events_raw.person_person_updated_v1_v2"
"jr_1734caea5aff2fa23adc2989a9370313ed3f55a6a77908b898365421933060ed","(2020, 6, 25, '2020-06-25T13:57:34.189915-0300')","(2020, 6, 25, '2020-06-25T13:57:34.189915-0300')","data_events_raw.processing_probability_auto_features_processed_v1_v1"
"jr_eb032e28cd14b96bdca95d918d36d4c7dd6e9d6b25f9b691470ab6f3ca128b57","(2020, 12, 31, '2020-03-20T12:13:41.983293')","(2020, 12, 31, '2020-03-20T12:13:41.983293')","platform_events_raw.person_person_updated_v1_v2"
"jr_742d2cf55f6ea89f8398dac6057fc2ca4fbdbb5a275eb7b527d298fc613f555b","(2020, 8, 31, '2020-08-19 11:26:05 -0300')","(2020, 8, 31, '2020-08-19 11:26:05 -0300')","data_events_raw.processing_probability_auto_raw_features_v1_v1"
